text,category
Broadband recharge of Rs 3375,Utilities
Electricity bill payment of Rs 150,Utilities
Home loan EMI of Rs 2124,EMI
Stock market investment of Rs 1734,Investment
EMI payment HDFC of Rs 4831,EMI
Flight ticket booking of Rs 683,Travel
Electricity bill payment of Rs 3396,Utilities
Myntra order of Rs 4958,Shopping
Gold investment of Rs 2713,Investment
Amazon shopping of Rs 4642,Shopping
Myntra order of Rs 4705,Shopping
Burger King meal of Rs 2262,Food
SIP investment of Rs 213,Investment
Movie ticket booking of Rs 2664,Entertainment
Bus ticket of Rs 1100,Travel
Apartment rent transfer of Rs 2605,Rent
Grocery at Reliance Fresh of Rs 817,Food
Train ticket IRCTC of Rs 2308,Travel
Spotify subscription of Rs 263,Entertainment
Flipkart purchase of Rs 3106,Shopping
KFC dinner of Rs 3391,Food
Car loan EMI of Rs 4325,EMI
Amazon shopping of Rs 4833,Shopping
Flight ticket booking of Rs 1226,Travel
Apartment rent transfer of Rs 1210,Rent
Amazon Prime subscription of Rs 4840,Entertainment
Uber ride of Rs 4324,Travel
Movie ticket booking of Rs 1968,Entertainment
SIP investment of Rs 2900,Investment
Apartment rent transfer of Rs 4484,Rent
Amazon Prime subscription of Rs 315,Entertainment
Mutual fund purchase of Rs 1766,Investment
Amazon shopping of Rs 4658,Shopping
SIP investment of Rs 879,Investment
Home loan EMI of Rs 3075,EMI
Train ticket IRCTC of Rs 4045,Travel
Mobile recharge of Rs 315,Utilities
Credit card bill payment of Rs 1183,EMI
Myntra order of Rs 996,Shopping
Spotify subscription of Rs 3414,Entertainment
Mobile recharge of Rs 3981,Utilities
Electricity bill payment of Rs 822,Utilities
Train ticket IRCTC of Rs 182,Travel
Monthly house rent of Rs 2141,Rent
Apartment rent transfer of Rs 4998,Rent
Gas bill of Rs 3905,Utilities
Gas bill of Rs 3036,Utilities
Flipkart purchase of Rs 1614,Shopping
Mobile recharge of Rs 791,Utilities
Movie ticket booking of Rs 2380,Entertainment
Metro recharge of Rs 347,Travel
Water bill payment of Rs 1399,Utilities
Amazon shopping of Rs 3880,Shopping
Home loan EMI of Rs 2446,EMI
Gold investment of Rs 643,Investment
Amazon shopping of Rs 356,Shopping
Burger King meal of Rs 2842,Food
Clothing store payment of Rs 3046,Shopping
Water bill payment of Rs 1788,Utilities
Spotify subscription of Rs 4348,Entertainment
Gas bill of Rs 4647,Utilities
Broadband recharge of Rs 3780,Utilities
Home loan EMI of Rs 566,EMI
Burger King meal of Rs 1224,Food
Uber ride of Rs 975,Travel
Spotify subscription of Rs 492,Entertainment
Zomato payment of Rs 4780,Food
Mobile recharge of Rs 3974,Utilities
Mutual fund purchase of Rs 2096,Investment
SIP investment of Rs 1460,Investment
Uber ride of Rs 4612,Travel
Broadband recharge of Rs 330,Utilities
PG rent payment of Rs 3841,Rent
Monthly house rent of Rs 1024,Rent
Broadband recharge of Rs 1606,Utilities
Amazon shopping of Rs 612,Shopping
Flight ticket booking of Rs 2423,Travel
Monthly house rent of Rs 4579,Rent
Electronics purchase of Rs 1323,Shopping
KFC dinner of Rs 1392,Food
Ola cab of Rs 3680,Travel
Electronics purchase of Rs 3482,Shopping
Apartment rent transfer of Rs 1168,Rent
Bus ticket of Rs 3018,Travel
Flight ticket booking of Rs 3489,Travel
Electricity bill payment of Rs 525,Utilities
Home loan EMI of Rs 1548,EMI
EMI payment HDFC of Rs 402,EMI
Spotify subscription of Rs 267,Entertainment
Credit card bill payment of Rs 2157,EMI
Monthly house rent of Rs 3897,Rent
Gold investment of Rs 1787,Investment
PG rent payment of Rs 733,Rent
SIP investment of Rs 783,Investment
Gold investment of Rs 2441,Investment
Flipkart purchase of Rs 2560,Shopping
SIP investment of Rs 321,Investment
Broadband recharge of Rs 1911,Utilities
Amazon Prime subscription of Rs 1838,Entertainment
PG rent payment of Rs 2948,Rent
Gold investment of Rs 188,Investment
SIP investment of Rs 487,Investment
Train ticket IRCTC of Rs 1332,Travel
Mutual fund purchase of Rs 3771,Investment
Mobile recharge of Rs 1171,Utilities
Gas bill of Rs 2311,Utilities
Mobile recharge of Rs 4878,Utilities
Gas bill of Rs 3916,Utilities
Metro recharge of Rs 1736,Travel
EMI payment HDFC of Rs 4728,EMI
PG rent payment of Rs 479,Rent
Clothing store payment of Rs 2501,Shopping
Amazon shopping of Rs 3853,Shopping
Water bill payment of Rs 1272,Utilities
Netflix subscription of Rs 4732,Entertainment
Home loan EMI of Rs 3310,EMI
Electronics purchase of Rs 702,Shopping
Monthly house rent of Rs 881,Rent
Apartment rent transfer of Rs 2029,Rent
Metro recharge of Rs 1833,Travel
Burger King meal of Rs 3037,Food
SIP investment of Rs 4948,Investment
Credit card bill payment of Rs 4096,EMI
Car loan EMI of Rs 1636,EMI
Flipkart purchase of Rs 1205,Shopping
Home loan EMI of Rs 465,EMI
Monthly house rent of Rs 4056,Rent
EMI payment HDFC of Rs 371,EMI
Bus ticket of Rs 526,Travel
SIP investment of Rs 757,Investment
Stock market investment of Rs 1862,Investment
Flight ticket booking of Rs 2333,Travel
Mutual fund purchase of Rs 4336,Investment
Apartment rent transfer of Rs 1262,Rent
Zomato payment of Rs 272,Food
Mobile recharge of Rs 2207,Utilities
EMI payment HDFC of Rs 1349,EMI
PG rent payment of Rs 189,Rent
Electronics purchase of Rs 1316,Shopping
Zomato payment of Rs 262,Food
Home loan EMI of Rs 769,EMI
Electricity bill payment of Rs 3799,Utilities
Netflix subscription of Rs 2764,Entertainment
Movie ticket booking of Rs 1870,Entertainment
Car loan EMI of Rs 2550,EMI
SIP investment of Rs 1299,Investment
Apartment rent transfer of Rs 4665,Rent
Movie ticket booking of Rs 2651,Entertainment
Mobile recharge of Rs 4395,Utilities
Zomato payment of Rs 4857,Food
Myntra order of Rs 4756,Shopping
SIP investment of Rs 3198,Investment
Mutual fund purchase of Rs 4697,Investment
Apartment rent transfer of Rs 1319,Rent
Flipkart purchase of Rs 3279,Shopping
Netflix subscription of Rs 4709,Entertainment
Car loan EMI of Rs 4394,EMI
Electronics purchase of Rs 285,Shopping
Stock market investment of Rs 4501,Investment
Spotify subscription of Rs 2532,Entertainment
Monthly house rent of Rs 2788,Rent
Electricity bill payment of Rs 4101,Utilities
Burger King meal of Rs 1201,Food
Amazon Prime subscription of Rs 4377,Entertainment
Mobile recharge of Rs 487,Utilities
Water bill payment of Rs 1655,Utilities
Metro recharge of Rs 2479,Travel
Movie ticket booking of Rs 405,Entertainment
Movie ticket booking of Rs 3553,Entertainment
SIP investment of Rs 3216,Investment
Movie ticket booking of Rs 2910,Entertainment
Electronics purchase of Rs 4523,Shopping
SIP investment of Rs 1621,Investment
Credit card bill payment of Rs 3795,EMI
Mutual fund purchase of Rs 1788,Investment
Electricity bill payment of Rs 3238,Utilities
Apartment rent transfer of Rs 1534,Rent
Restaurant bill of Rs 3955,Food
Stock market investment of Rs 2535,Investment
Netflix subscription of Rs 4843,Entertainment
Mobile recharge of Rs 968,Utilities
Home loan EMI of Rs 4941,EMI
Stock market investment of Rs 3805,Investment
